,Symbol
0,MMM
1,AOS
2,ABT
3,ACN
4,ATVI
5,ADM
6,ADBE
7,ADP
8,AAP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALGN
18,ALLE
19,LNT
20,ALL
21,GOOGL
22,GOOG
23,MO
24,AMZN
25,AMCR
26,AMD
27,AEE
28,AAL
29,AEP
30,AXP
31,AIG
32,AMT
33,AWK
34,AMP
35,ABC
36,AME
37,AMGN
38,APH
39,ADI
40,ANSS
41,AON
42,APA
43,AAPL
44,AMAT
45,APTV
46,ACGL
47,ANET
48,AJG
49,AIZ
50,T
51,ATO
52,ADSK
53,AZO
54,AVB
55,AVY
56,BKR
57,BALL
58,BAC
59,BBWI
60,BAX
61,BDX
62,WRB
63,BRK.B
64,BBY
65,BIO
66,TECH
67,BIIB
68,BLK
69,BK
70,BA
71,BKNG
72,BWA
73,BXP
74,BSX
75,BMY
76,AVGO
77,BR
78,BRO
79,BF.B
80,CHRW
81,CDNS
82,CZR
83,CPT
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,CNC
97,CNP
98,CDAY
99,CF
100,CRL
101,SCHW
102,CHTR
103,CVX
104,CMG
105,CB
106,CHD
107,CI
108,CINF
109,CTAS
110,CSCO
111,C
112,CFG
113,CLX
114,CME
115,CMS
116,KO
117,CTSH
118,CL
119,CMCSA
120,CMA
121,CAG
122,COP
123,ED
124,STZ
125,CEG
126,COO
127,CPRT
128,GLW
129,CTVA
130,CSGP
131,COST
132,CTRA
133,CCI
134,CSX
135,CMI
136,CVS
137,DHI
138,DHR
139,DRI
140,DVA
141,DE
142,DAL
143,XRAY
144,DVN
145,DXCM
146,FANG
147,DLR
148,DFS
149,DISH
150,DIS
151,DG
152,DLTR
153,D
154,DPZ
155,DOV
156,DOW
157,DTE
158,DUK
159,DD
160,DXC
161,EMN
162,ETN
163,EBAY
164,ECL
165,EIX
166,EW
167,EA
168,ELV
169,LLY
170,EMR
171,ENPH
172,ETR
173,EOG
174,EPAM
175,EQT
176,EFX
177,EQIX
178,EQR
179,ESS
180,EL
181,ETSY
182,RE
183,EVRG
184,ES
185,EXC
186,EXPE
187,EXPD
188,EXR
189,XOM
190,FFIV
191,FDS
192,FAST
193,FRT
194,FDX
195,FITB
196,FRC
197,FSLR
198,FE
199,FIS
200,FISV
201,FLT
202,FMC
203,F
204,FTNT
205,FTV
206,FOXA
207,FOX
208,BEN
209,FCX
210,GRMN
211,IT
212,GEHC
213,GEN
214,GNRC
215,GD
216,GE
217,GIS
218,GM
219,GPC
220,GILD
221,GL
222,GPN
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,PEAK
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUM
242,HBAN
243,HII
244,IBM
245,IEX
246,IDXX
247,ITW
248,ILMN
249,INCY
250,IR
251,INTC
252,ICE
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,INVH
260,IQV
261,IRM
262,JBHT
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,JNPR
269,K
270,KDP
271,KEY
272,KEYS
273,KMB
274,KIM
275,KMI
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LDOS
285,LEN
286,LNC
287,LIN
288,LYV
289,LKQ
290,LMT
291,L
292,LOW
293,LUMN
294,LYB
295,MTB
296,MRO
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MTCH
305,MKC
306,MCD
307,MCK
308,MDT
309,MRK
310,META
311,MET
312,MTD
313,MGM
314,MCHP
315,MU
316,MSFT
317,MAA
318,MRNA
319,MHK
320,MOH
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NKE
339,NI
340,NDSN
341,NSC
342,NTRS
343,NOC
344,NCLH
345,NRG
346,NUE
347,NVDA
348,NVR
349,NXPI
350,ORLY
351,OXY
352,ODFL
353,OMC
354,ON
355,OKE
356,ORCL
357,OGN
358,OTIS
359,PCAR
360,PKG
361,PARA
362,PH
363,PAYX
364,PAYC
365,PYPL
366,PNR
367,PEP
368,PKI
369,PFE
370,PCG
371,PM
372,PSX
373,PNW
374,PXD
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PEG
385,PTC
386,PSA
387,PHM
388,QRVO
389,PWR
390,QCOM
391,DGX
392,RL
393,RJF
394,RTX
395,O
396,REG
397,REGN
398,RF
399,RSG
400,RMD
401,RHI
402,ROK
403,ROL
404,ROP
405,ROST
406,RCL
407,SPGI
408,CRM
409,SBAC
410,SLB
411,STX
412,SEE
413,SRE
414,NOW
415,SHW
416,SBNY
417,SPG
418,SWKS
419,SJM
420,SNA
421,SEDG
422,SO
423,LUV
424,SWK
425,SBUX
426,STT
427,STLD
428,STE
429,SYK
430,SIVB
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TRGP
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TYL
456,TSN
457,USB
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VFC
473,VTRS
474,VICI
475,V
476,VMC
477,WAB
478,WBA
479,WMT
480,WBD
481,WM
482,WAT
483,WEC
484,WFC
485,WELL
486,WST
487,WDC
488,WRK
489,WY
490,WHR
491,WMB
492,WTW
493,GWW
494,WYNN
495,XEL
496,XYL
497,YUM
498,ZBRA
499,ZBH
500,ZION
501,ZTS
